applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,388,7800,1953,"Oklahoma City, Oklahoma",27451857,Mental Health Care,Oklahoma City,Oklahoma Department of Mental Health and Substance Abuse Services,Government Agency,,Oklahoma,"1,001-5,000 employees"," ODMHSAS leads the way, offering help within reach to those in need. Join our team! ",,2000 N Classen Blvd,Full-time,Internet Publishing,Administrative,"Oklahoma City, OK",18/01/2025 6:59,Mid-Senior level,Forensic Competency Field Rep,[]
Be among the first 25 applicants,Easy Apply,"$45,000.00/yr - $49,000.00/yr",PostalAddress,US,454,5353,1967,"Durham, NC",604057,Non-profit Organizations,Durham,MDC,Nonprofit,27701-3215,NC,11-50 employees,"Equipping Southern leaders, institutions, and communities to improve economic mobility and advance equity.","strategic philanthropy, community development, asset building, postsecondary education, economic & social mobility, early childhood education, learning differences, and integrated services delivery",307 West Main Street,Full-time,Internet Publishing,Information Technology,"Durham, NC",18/01/2025 6:52,Entry level,Program Administrator Leadership and Philanthropy,['excel']
75 applicants,External Apply,,PostalAddress,US,1114,41609,2007,"Tampa, Florida",240158,Computer and Network Security,Tampa,ReliaQuest,Privately Held,33602,Florida,"1,001-5,000 employees",Make Security Possible,"IT Security, Information Technology, Data Security, Program Support, IT Engineering, Mobile Device Management, Bring Your Own Device, Network Access Control, DDos Defense, SIEM & Log Management, Continuous Monitoring, Continuous Audit, Managed Detection and Response, OpenXDR, and GreyMatter",1001 Water St,Full-time,Computer and Network Security,Engineering and Information Technology,"Tampa, FL",18/01/2025 2:14,Mid-Senior level,Data Scientist,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp', 'statistics', 'nlp', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,2164,18640,1951,"Pensacola, FL",37130,Hospitals and Health Care,Pensacola,Baptist Health Care,Nonprofit,32503,FL,"1,001-5,000 employees",Helping People Throughout Life's Journey,"healthcare, Cancer Institute, Bariatric / Weight-Loss, Emergency & Trauma, Heart & Vascular, Orthopaedics, Stroke, and Women’s",123 Baptist Way ,Other,Hospitals and Health Care,Information Technology,"Pensacola, FL",18/01/2025 7:40,Entry level,Applications Analyst I,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,34,810,,"Columbia, Maryland",12176780,IT Services and IT Consulting,Columbia,Reflexive Concepts,Privately Held,21046,Maryland,51-200 employees,Empowering Solutions. Engineering Excellence.,"Software Engineering, Systems Engineering, Data Science, Cloud Technologies, DevOps, Programming, Big Data, and Data Analytics",7134 Columbia Gateway Dr,Full-time,IT Services and IT Consulting,Engineering and Information Technology,"Annapolis, MD",18/01/2025 5:27,Mid-Senior level,Data Scientist II,"['python', 'aws', 'azure', 'spark', 'data visualization', 'statistics', 'pandas']"
Be among the first 25 applicants,Easy Apply,"$90,000.00/yr - $95,000.00/yr",,,266,2331,1962,"Carson, California",4718778,Warehousing and Storage,,Custom Goods,Privately Held,,,"501-1,000 employees",The Strongest Link in Your Supply Chain,"Warehousing, Transportation, Specialty Freight Forwarding Services, CES (Customs Exam Sites), Drayage, eCommerce, Cross-Docking (Transloading), Bundling, Kitting, Fulfillment, Freight Consolidation, Special Packaging, Air freight Containers, Repackaging and Remarking, FTZ Freight Processing (Ocean and Air), Campaign (Product / Safety Recall) Related, Exception / Ad-hoc Requests, US and Canadian VOR Programs, Damage Reduction Programs, Reverse Logistics, CFS capabilities, and National Dealer Campaigns",,Full-time,Internet Publishing,Information Technology,"Carson, CA",18/01/2025 7:08,Mid-Senior level,Application Analyst,"['sql', 'excel', 'power bi', 'aws', 'azure', 'database']"
74 applicants,External Apply,$36.06/hr - $50.48/hr,,,4,11754,,,96666603,Staffing and Recruiting,,EV.Careers,Privately Held,,,2-10 employees,EV Focused Job Board and Recruiting Services | Helping Companies Hire Top EV Talent For 80% Less,"Staffing, Recruiting, Job Board, Electric Vehicles, EV Charging, Hiring, and EV Recruitment",,Internship,Staffing and Recruiting,Engineering and Information Technology,"Palo Alto, CA",18/01/2025 7:58,Internship,"Internship, Software Engineer, Data Platforms (Summer 2025)","['python', 'aws', 'spark', 'big data']"
Be among the first 25 applicants,External Apply,"$6,803.73/mo - $9,820.80/mo",PostalAddress,US,509,7167,1968,"City of Industry, CA",18244263,Non-profit Organizations,City of Industry,Heluna Health,Nonprofit,91746,CA,"1,001-5,000 employees",Empowering Population Health Initiatives Since 1969,,13300 Crossroads Parkway North,Full-time,Non-profit Organizations,Business Development and Sales,"Los Angeles, CA",18/01/2025 5:35,Mid-Senior level,Staff Analyst,[]
Be among the first 25 applicants,External Apply,,PostalAddress,IN,132,13059,2018,"Bangalore, Karnataka",14562120,Embedded Software Products,Bangalore,Swift,Privately Held,560037,Karnataka,11-50 employees,"Full-stack ecommerce enablement platform integrating checkout, payments and fulfillment for D2C brands and SMEs",,,Full-time,Embedded Software Products,Information Technology,"Columbia, MD",18/01/2025 4:49,Mid-Senior level,Data Engineer,"['python', 'excel', 'aws', 'data analytics']"
Be among the first 25 applicants,Easy Apply,"$180,000.00/yr - $200,000.00/yr",PostalAddress,US,170,6065,,"Baltimore, MD",64970114,"Technology, Information and Internet",Baltimore,InVita Healthcare Technologies,Privately Held,21230,MD,51-200 employees,Specialized Software for regulated industries supporting the advancement of public health and safety.,"Supply Chain, Healthcare, Blood Donation, Donor Recruitment, Warranty Tracking, Plasma Donation, Healthcare Technology, Healthcare Lifecycle Management, organ donation, DNA and Forensics, Medical Device Tracking, and Tissue, Biologics and Non-Biologic Implant Tracking",180 West Ostend Street,Full-time,Internet Publishing,Project Management and Information Technology,"Baltimore, MD",18/01/2025 7:03,Executive,VP of Program Management and Integration Services,['aws']
Be among the first 25 applicants,External Apply,"$84,601.00/yr - $131,826.00/yr",PostalAddress,US,1093,168417,2005,"Washington, DC",49685,Government Administration,Washington,Office of the Director of National Intelligence,Government Agency,20511,DC,"1,001-5,000 employees",The DNI oversees the U.S. Intelligence Community & serves as principal adviser to the President on intelligence issues.,,,Full-time,Government Administration and Strategic Management Services,Business Development and Sales,"McLean, VA",13/01/2025 0:00,Not Applicable,Africa Counterterrorism Analyst.,['aws']
Be among the first 25 applicants,External Apply,"$150,000.00/yr - $200,000.00/yr",PostalAddress,US,560,104756,1995,"Seattle, WA",93486,Personal Care Product Manufacturing,Seattle,Paula's Choice Skincare,Privately Held,98104,WA,"501-1,000 employees",Beauty Begins With Truth.,"Skincare, Beauty Product Retail, Cosmetics, Beauty Product Reviews, Beauty, Personal Care, ecommerce, digital marketing, skincare education, product innovation, and Product development",605 5th Avenue South,Full-time,Personal Care Product Manufacturing,"Design, Art/Creative, and Information Technology","Seattle, WA",18/01/2025 4:46,Director,Creative Director,[]
44 applicants,External Apply,"$106,300.00/yr - $175,400.00/yr",PostalAddress,US,38758,421689,1853,"New York, NY",3088,Insurance,New York,Travelers,Public Company,10017-2630,NY,"10,001+ employees","Travelers ‚Äì taking care of our customers, communities and each other. ",Insurance,485 Lexington Avenue,Full-time,Insurance,Analyst,"Atlanta, GA",18/01/2025 6:13,Not Applicable,Data Engineer I,"['python', 'sql', 'aws', 'snowflake', 'brick']"
59 applicants,External Apply,$19.00/hr - $25.00/hr,,,,,,,2204084,,,Talentify.io,,,,,,,,Full-time,Administrative and Support Services,Administrative,United States,,Not Applicable,Data Entry Specialist,['database']
159 applicants,External Apply,"$54,650.00/yr - $78,100.00/yr",PostalAddress,US,23173,220368,1980,"Englewood, CO",4296,Telecommunications,Englewood,DISH Network,Public Company,80112,CO,"10,001+ employees",Help us change the way the world communicates.,"A leading provider of satellite television, DVR, Provides the most HD and international programming in the U.S., Satellite Broadband Service, IoT, Wireless, tv, technology, connectivity, communication, and television",9601 S. Meridian Blvd,Full-time,Telecommunications,Information Technology,"Englewood, CO",18/01/2025 3:27,Not Applicable,Data Analyst,"['python', 'sql', 'excel', 'tableau', 'aws', 'statistics']"
111 applicants,Easy Apply,"$95,000.00/yr - $168,000.00/yr",PostalAddress,US,33196,190244,1973,"Altamonte Springs, FL",858214,Hospitals and Health Care,Altamonte Springs,AdventHealth,Nonprofit,32714,FL,"501-1,000 employees",You can find more than a job—you can rise to your calling. Discover the impact you can make with an AdventHealth Career.,,900 Hope Way,Full-time,Hospitals and Health Care,Engineering and Information Technology,"Altamonte Springs, FL",18/01/2025 15:56,Mid-Senior level,Artificial Intelligence Engineer,"['power bi', 'tableau', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'data visualization', 'statistics', 'nlp', 'snowflake']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,1509,15205,,"Sheridan, WY",90837823,Food and Beverage Retail,Sheridan,Nestle,Privately Held,82801,WY,"5,001-10,000 employees","Nestlé: Good food, Good life | Nestlé Global",,,Internship,Food and Beverage Retail,Health Care Provider,"Boca Raton, FL",18/01/2025 5:29,Internship,Nestle Health Science - Innovative Product Development Intern,"['excel', 'statistics']"
26 applicants,External Apply,$21.15/hr - $26.93/hr,PostalAddress,US,39109,262785,1993,"Newport Beach, California",163025,Restaurants,Newport Beach,Chipotle Mexican Grill,Public Company,92660,California,"10,001+ employees",Real Food. Real People. Real Opportunities.,"Burritos, bowls, and tacos and salads.",610 Newport Center Dr,Full-time,Restaurants,Management and Manufacturing,"California, United States",18/01/2025 21:47,Not Applicable,Supply Chain - Internship,"['excel', 'power bi', 'tableau', 'aws']"
35 applicants,External Apply,,PostalAddress,US,11,6473,2020,"Westlake Village, California",26243888,"Technology, Information and Internet",Westlake Village,VeriiPro,Public Company,91361,California,11-50 employees,Find the job of your dream in a couple of clicks.,"recruiting, hiring, job boards,  job posting, candidate screening, HR services,  job alerts, artificial intelligence,  Tech, HR Tech, and Startup",30941 Agoura Rd,Contract,"Technology, Information and Internet",Engineering and Information Technology,"Orlando, FL",18/01/2025 19:00,Entry level,Data Scientist..,"['python', 'sql', 'power bi', 'tableau', 'machine learning', 'azure', 'data visualization', 'statistics', 'big data']"
154 applicants,External Apply,,PostalAddress,US,124885,2977787,,"Charlotte, North Carolina",1344,"Appliances, Electrical, and Electronics Manufacturing",Charlotte,Honeywell,Public Company,28202,North Carolina,"10,001+ employees",,,Honeywell International Inc.,Full-time,"Appliances, Electrical, and Electronics Manufacturing",Information Technology,"Morris Plains, NJ",18/01/2025 0:39,Mid-Senior level,Advanced Data Analyst,"['excel', 'machine learning', 'data analytics', 'statistics']"
Be among the first 25 applicants,External Apply,,PostalAddress,IN,132,13059,2018,"Bangalore, Karnataka",14562120,Embedded Software Products,Bangalore,Swift,Privately Held,560037,Karnataka,11-50 employees,"Full-stack ecommerce enablement platform integrating checkout, payments and fulfillment for D2C brands and SMEs",,,Full-time,Embedded Software Products,Engineering and Information Technology,"Chantilly, VA",18/01/2025 4:44,Mid-Senior level,Data Scientist,"['python', 'sql', 'excel', 'power bi', 'tableau', 'data visualization', 'data analytics', 'statistics']"
62 applicants,External Apply,$36.06/hr - $50.48/hr,,,4,11754,,,96666603,Staffing and Recruiting,,EV.Careers,Privately Held,,,2-10 employees,EV Focused Job Board and Recruiting Services | Helping Companies Hire Top EV Talent For 80% Less,"Staffing, Recruiting, Job Board, Electric Vehicles, EV Charging, Hiring, and EV Recruitment",,Internship,Staffing and Recruiting,Engineering and Information Technology,"Palo Alto, CA",18/01/2025 7:58,Internship,"Internship, Software Engineer, Data Platforms (Summer 2025)","['python', 'aws', 'spark', 'big data']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,19,645,2023,"Los Angeles, California",89882346,Marketing Services,Los Angeles,33 USA Inc.,Privately Held,90069,California,11-50 employees,"A FULL-SERVICE
STRATEGY AND CREATIVITY BASED
""ANIME"" MARKETING AGENCY","Advertising, PR, SNS, Entertainment, Anime, Movie, Publicity, Marketing, Promotion, Brand Development, Media Publicity, Digital Advertising, Creative, Social Media Marketing, Marketing Produce, Global Marketing, and Japanese",750 N San Vicente Blvd,Full-time,IT Services and IT Consulting,Marketing and Sales,"Los Angeles, CA",24/12/2024 22:55,Mid-Senior level,Social Media Marketing Specialist,['excel']
Be among the first 25 applicants,Easy Apply,,PostalAddress,IN,22827,1078547,,"Gurgaon, Haryana",18583501,"Technology, Information and Internet",Gurgaon,Stealth Startup,Privately Held,122001,Haryana,11-50 employees,"Helping Stealth Startups to Launch, Hire & Scale.",,,Part-time,"Technology, Information and Internet and Software Development",Marketing,United States,,Executive,Chief Marketing Officer,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,256,5227,,"Annapolis Junction, Maryland",33520473,Defense and Space Manufacturing,Annapolis Junction,EverWatch,Privately Held,20701,Maryland,201-500 employees,,"Intelligence, Defense, and Deployed Mission Support",302 Sentinel Dr,Internship,IT Services and IT Consulting,Information Technology,"Annapolis Junction, MD",18/01/2025 20:32,Not Applicable,Computer Science Intern,"['python', 'excel', 'machine learning', 'statistics']"
